n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
337GM,11185,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,LA,2,US,20260406,20260406,20260125,4,1,V,
337RB,0869,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,OK,2,US,20230902,20160923,20040405,4,1,V,
337TM,0160,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,1,TX,2,US,20240321,20230406,20110617,4,1,V,
338CP,3253,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,,8,DE,20230401,20201104,20080912,4,1,V,
338DK,1461,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,CA,4,US,20240419,20240419,20161123,4,1,V,
338PE,11237,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2026,7,WI,C,US,20260509,20260509,20260227,4,1,V,
338TX,9383,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2023,7,TX,2,US,20230928,20230928,20230813,4,1,V,
33958,10835,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,3,DE,1,US,20250827,20250827,20250731,4,1,V,
339AP,2168,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,CA,4,US,20230902,20220922,20200921,4,1,V,
339CD,1107,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,4,GA,7,US,20240313,20240313,20041006,4,1,V,
339DT,4224,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,TX,2,US,20230909,20161013,20150715,4,1,V,
339MC,2169,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,TX,2,US,20240821,20240821,20200915,4,1,V,
339TM,11243,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,MT,S,US,20260526,20260526,20260305,4,1,V,
339WM,9850,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,FL,7,US,20240418,20240418,20240320,4,1,V,
339WS,0710,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2014,7,IL,C,US,20230519,20210604,20140219,4,1,V,
33AA,0372,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2022,7,AZ,4,US,20240619,20240217,20220728,4,5,V,
33AH,0640,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,FL,7,US,20260305,20250403,20250402,4,5,V,
33AL,0567,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2024,7,FL,7,US,20250403,20241022,20240730,4,5,V,
33AY,0769,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2026,8,MN,C,US,20260129,,20260511,4,5,M,
33CF,8525,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2022,7,NC,1,US,20251218,20251218,20220217,4,1,V,
