n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
812BT,4272,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,LA,2,US,20230818,20220715,20151119,4,1,V,
812CD,3123,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,1,AZ,4,US,20260111,20260111,20080711,4,1,V,
812CS,3931,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2013,1,VA,1,US,20240521,20240521,20130401,4,1,V,
812DB,2399,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,SC,7,US,20260701,20260701,20070315,4,1,V,
812DF,9908,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,VT,E,US,20240605,20240605,20240426,4,1,V,
812DM,0863,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,GA,7,US,20241007,20241007,20040403,4,1,V,
812DW,0124,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,7,MT,S,US,20230317,20200901,20011207,4,1,V,
812EA,1589,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2017,4,TX,2,US,20231231,20231231,20170828,4,1,V,
812JM,0128,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2019,7,FL,7,US,20230825,20190826,20190716,4,5,V,
812JP,2869,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,NC,1,US,20230811,20080107,20071212,4,1,V,
812MT,1709,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,1,PA,1,US,20230317,20200921,20180412,4,1,V,
812PB,0281,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2021,7,TX,2,US,20230623,20211103,20210728,4,5,V,
812SE,2152,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,AL,7,US,20240321,20210209,20060927,4,1,V,
812TR,8547,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,7,UT,S,US,20250620,20250620,20220308,4,1,V,
812TW,4189,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,1,FL,7,US,20240419,20240419,20150402,4,1,V,
8133Z,0673,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,NY,1,US,20230811,20220618,20030906,4,1,V,
8135A,0674,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IL,C,US,20240302,20240302,20030909,4,1,V,
8135V,0658,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,MS,2,US,20230616,20181004,20030912,4,1,V,
8138J,0663,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,MN,C,US,20230519,20210608,20030917,4,1,V,
8138S,0681,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,NY,1,US,20230811,20190604,20030916,4,1,V,
8139C,0661,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,DE,1,US,20241024,20241024,20030827,4,1,V,
8139D,1368,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,1,IL,C,US,20230623,20211127,20031013,4,1,V,
8139K,0662,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IL,C,US,20230414,20210111,20030828,4,1,V,
8139V,0685,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,NY,1,US,20230603,20210824,20031002,4,1,V,
813AB,1769,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,3,NV,4,US,20260218,20260218,20260223,4,1,V,
813CD,0141,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,7,IN,C,US,20240813,20240813,20020124,4,1,V,
813CG,4978,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2020,7,FL,7,US,20230902,20220926,20201124,4,1,V,
813DT,11625,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,8,MN,C,US,20260611,,,4,1,M,
813EJ,8894,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2022,3,OK,2,US,20240104,20240101,20221021,4,1,V,
813JE,11552,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,8,MN,C,US,20260521,,,4,1,M,
813JP,10224,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,3,DE,1,US,20241114,20241114,20240826,4,1,V,
813KP,1019,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,4,,,,20230718,20220225,20040727,4,1,V,
813MB,0681,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,FL,7,US,20251110,20250919,20250815,4,5,V,
813MF,10109,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,NY,1,US,20240909,20240909,20240727,4,1,V,
813MR,1010,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,FL,7,US,20230804,20220520,20040709,4,1,V,
813PC,11094,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,FL,7,US,20260217,20260217,20251210,4,1,V,
813PS,1379,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,CO,S,US,20230701,20181226,20160629,4,1,V,
813TB,10627,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,FL,7,US,20250704,20250704,20250502,4,1,V,
813VS,9892,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,7,FL,7,US,20240609,20240609,20240420,4,1,V,
814,1281,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,3,WI,C,US,20230623,20181109,20030130,4,1,V,
8140S,0684,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,ID,S,US,20230804,20130508,20030919,4,1,V,
8141F,0699,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,NC,1,US,20230512,20210521,20031002,4,1,V,
8141L,0665,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,AR,2,US,20240502,20240502,20030902,4,1,V,
8141Q,0676,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,OH,C,US,20240505,20240505,20030910,4,1,V,
8143D,0678,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,MT,S,US,20230922,20191212,20030917,4,1,V,
8144Z,0700,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,OH,C,US,20230517,20210911,20031004,4,1,V,
8145U,0683,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,DE,1,US,20250621,20230706,20030923,4,1,V,
8146J,0675,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,MA,E,US,20251220,20251220,20030913,4,1,V,
8146L,0680,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,MT,S,US,20230610,20210911,20030913,4,1,V,
8146T,1373,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,7,OH,C,US,20230505,20210401,20031112,4,1,V,
8148F,0769,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,CA,4,US,20230428,20040213,20031210,4,1,V,
8148M,1357,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,7,GA,7,US,20240710,20240710,20030930,4,1,V,
8149W,0695,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,TX,2,US,20250218,20250218,20031001,4,1,V,
814BG,1712,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,7,TX,2,US,20230401,20201104,20060810,4,1,V,
814BH,0348,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,8,DE,1,US,20251208,20240110,20120718,4,1,V,
814CD,0143,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,7,FL,7,US,20230930,20230104,20020131,4,1,V,
814CP,10583,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,3,MO,3,US,20250710,20250710,20250403,4,1,V,
814EM,4184,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2015,7,MO,3,US,20230407,20201210,20150324,4,1,V,
814JA,11520,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,7,PA,1,US,20260804,20260804,,4,1,V,
814JB,9862,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,3,OH,C,US,20240522,20240522,20240409,4,1,V,
814LT,3568,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2010,7,NY,1,US,20241109,20170907,20100217,4,1,V,
814RA,1663,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,4,OR,S,US,20230922,20221226,20060522,4,1,V,
814SR,2184,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,CA,4,US,20230902,20190920,20061010,4,1,V,
814TM,10488,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,FL,7,US,20260121,20250722,20250208,4,1,V,
8150F,0701,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IN,C,US,20230717,20230426,20031007,4,1,V,
8151Y,0703,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,CA,4,US,20240320,20240320,20031003,4,1,V,
8152Q,0793,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,1,,,,20260505,20260505,,4,1,V,
8152T,0696,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,GA,7,US,20250124,20250124,20031002,4,1,V,
8152X,0686,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,FL,7,US,20240305,20240305,20030925,4,1,V,
8153H,0702,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,UT,S,US,20230701,20211218,20031007,4,1,V,
8153J,1366,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,1,NJ,1,US,20251015,20251015,20031017,4,1,V,
8153R,0708,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,OH,C,US,20231020,20200416,20031020,4,1,V,
8153V,0709,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,TN,3,US,20230505,20210405,20031021,4,1,V,
8157Z,1377,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,1,MN,C,US,20250322,20250322,20031118,4,1,V,
815CD,0149,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,IN,C,US,20240531,20240531,20020207,4,1,V,
815DB,3743,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2011,7,DE,1,US,20250401,20250220,20110324,4,1,V,
815GB,11603,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260422,,,4,1,M,
815HC,1199,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,FL,7,US,20230728,20050124,20041130,4,1,V,
815JD,0543,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IA,3,US,20230407,20141204,20030507,4,1,V,
815L,2388,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,WY,S,US,20250226,20250226,20210831,4,1,V,
815ML,2500,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2019,4,CA,4,US,20230603,20210831,20190613,4,1,V,
815PZ,2154,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,7,CO,S,US,20250730,20250730,20200821,4,1,V,
8160C,1381,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,7,DE,1,US,20230913,20230913,20031120,4,1,V,
8160N,0734,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,1,OR,S,US,20230428,20180314,,4,1,V,
8161S,1385,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,3,WY,S,US,20260223,20260223,20040115,4,1,V,
8162T,0740,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,VA,1,US,20240329,20240329,,4,1,V,
8163R,0744,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,NC,1,US,20260304,20260304,20031120,4,1,V,
8163V,0748,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,IN,C,US,20230505,20120417,20031124,4,1,V,
8164F,0749,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,AZ,4,US,20230811,20190618,20031125,4,1,V,
8164X,0733,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,FL,7,US,20230310,20110816,,4,1,V,
8165H,0747,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,VA,1,US,20260622,20260622,20031124,4,1,V,
8168Q,0805,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,FL,7,US,20230811,20160624,20040114,4,1,V,
8168V,0790,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,NJ,1,US,20230825,20220806,20031230,4,1,V,
8168W,0789,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,4,OH,C,US,20260418,20260418,,4,1,V,
816BV,1594,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2005,7,MI,C,US,20260626,20250813,20051213,4,1,V,
816CA,2567,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2020,7,KY,3,US,20230317,20200902,20200528,4,1,V,
816CD,0150,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,3,KS,3,US,20240316,20240316,20020208,4,1,V,
816CT,2415,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2018,7,CA,4,US,20230922,20191217,20180313,4,1,V,
816LD,3843,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2012,7,FL,7,US,20230613,20230613,20120404,4,1,V,
816LN,5030,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2021,3,,8,DE,20260610,20260401,20210422,4,1,V,
816LP,11671,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,8,MN,C,US,20260811,,,4,1,M,
816LT,0511,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IN,C,US,20230818,20190708,20030424,4,1,V,
816MC,10208,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,GA,7,US,20241009,20241009,20240919,4,1,V,
816MK,0629,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,WI,C,US,20250324,20250324,20250228,4,5,V,
816MM,8797,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2022,7,VA,1,US,20240523,20230208,20220907,4,1,V,
816PP,10266,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,NV,4,US,20260728,20241210,20241016,4,1,V,
816RJ,0112,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,7,TN,3,US,20240426,20190425,20011029,4,1,V,
816RW,2309,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,MS,2,US,20250106,20240125,20210426,4,1,V,
816SC,1878,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,MI,C,US,20230818,20190726,20060329,4,1,V,
816SD,2323,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,3,OK,2,US,20230728,20090123,20070111,4,1,V,
816SG,10875,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,WI,C,US,20251015,20251015,20250826,4,1,V,
816SR,10135,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,7,NY,1,US,20240907,20240907,20240805,4,1,V,
8170A,0745,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,MO,3,US,20230918,20230918,20031124,4,1,V,
8170E,0809,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,3,NV,4,US,20250930,20250930,20040120,4,1,V,
8171G,0751,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,DE,1,US,20230512,20150520,20031126,4,1,V,
8171P,0797,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2004,7,TN,3,US,20230922,20191206,20040107,4,1,V,
81737,1397,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2004,7,DE,1,US,20251002,20090914,20040130,4,1,V,
8173L,1380,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,1,AL,7,US,20230701,20211216,20031202,4,1,V,
8173M,0750,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,4,TX,2,US,20230324,20141010,20031125,4,1,V,
8174A,0721,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,7,IN,C,US,20230915,20131119,20031029,4,1,V,
817AM,9092,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,OK,2,US,20240920,20240916,20230303,4,1,V,
817BG,11062,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,TX,2,US,20260113,20260113,20251119,4,1,V,
817BJ,10653,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,WI,C,US,20260505,20251022,20250511,4,1,V,
817BK,1255,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,NY,1,US,20230718,20220204,20050106,4,1,V,
817CV,10902,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,PA,1,US,20251030,20251030,20250910,4,1,V,
817DG,4786,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,3,ND,C,US,20260616,20251013,20190515,4,1,V,
817DL,1762,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,4,FL,7,US,20250401,20250401,20180731,4,1,V,
817GF,2117,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2020,1,TX,2,US,20240725,20230107,20200528,4,1,V,
817GW,0312,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2021,3,FL,7,US,20230804,20220505,20211111,4,5,V,
817HH,4756,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2019,7,IN,C,US,20240208,20240208,20190306,4,1,V,
817PH,9555,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,TX,2,US,20250903,20240118,20231117,4,1,V,
817SE,2209,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,3,TX,2,US,20230421,20090720,20061026,4,1,V,
817SR,2514,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,CT,E,US,20230804,20190514,20070604,4,1,V,
817TA,9553,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,3,IN,C,US,20240102,20240102,20231112,4,1,V,
817TM,4988,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2020,7,MA,E,US,20230603,20210826,20201218,4,1,V,
817WM,10157,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2024,5,MI,C,US,20241011,20241011,20240818,4,1,V,
817WT,4017,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2013,7,NE,3,US,20230929,20140103,20131115,4,1,V,
8188R,9784,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,1,NV,4,US,20260301,20240312,20240218,4,1,V,
8189,11122,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2026,7,PA,1,US,20260501,20260501,20260107,4,1,V,
818AB,1953,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,7,FL,7,US,20230922,20131204,20060510,4,1,V,
818AD,0549,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2024,7,OR,S,US,20250320,20250320,20240507,4,5,V,
818AZ,10586,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,AZ,4,US,20250522,20250521,20250329,4,1,V,
818DL,0284,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,7,FL,7,US,20250414,20250414,20020731,4,1,V,
818DR,2263,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2014,1,TN,3,US,20240529,20240529,20140618,4,1,V,
818EL,10186,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,AL,7,US,20251003,20241002,20240905,4,1,V,
818GM,0256,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2002,3,KS,3,US,20230324,20201019,20020710,4,1,V,
818HW,10792,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,DE,1,US,20250913,20250913,20250725,4,1,V,
818JE,10944,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,AL,7,US,20251121,20251121,20251006,4,1,V,
818LL,0274,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2021,7,TN,3,US,20241230,20241230,20210610,4,5,V,
818LM,1778,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,UT,S,US,20230905,20210604,20180828,4,1,V,
818LT,4354,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,AZ,4,US,20230825,20160804,20160607,4,1,V,
818PK,10338,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,WY,S,US,20260630,20250114,20241126,4,1,V,
818RN,1990,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2008,1,IA,3,US,20230428,20210311,20080513,4,1,V,
818TB,2453,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,MT,S,US,20250130,20250130,20211124,4,1,V,
818WK,10299,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2024,7,NY,1,US,20241209,20241209,20241103,4,1,V,
819BW,11611,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,8,MN,C,US,20260604,,,4,1,M,
819CD,1251,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2002,7,MN,C,US,20251121,20251121,20020925,4,1,V,
819GP,0253,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2011,7,FL,7,US,20251120,20200227,20111215,4,1,V,
819TF,2770,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,8,TN,3,US,20230406,20220425,,4,1,V,
819VS,1493,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2005,4,MN,C,US,20230915,20050309,20050215,4,1,V,
819X,0433,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,3,NV,4,US,20251208,20251208,20121210,4,1,V,
81AE,9304,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,MI,C,US,20230817,20230816,20230624,4,1,V,
81AT,11030,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2025,7,CA,4,US,20260106,20260106,20251101,4,1,V,
81BG,11046,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,GA,7,US,20260107,20260107,20251115,4,1,V,
81BK,1082,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2000,4,CA,4,US,20240513,20240429,20001031,4,1,V,
81DX,2319,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,7,MT,S,US,20251007,20251007,20210527,4,1,V,
81EZ,1686,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2006,5,MI,C,US,20230512,20200415,20060711,4,1,V,
81FD,11071,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,TX,2,US,20260402,20260209,20251202,4,1,V,
81FK,4878,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2020,7,SC,7,US,20231007,20200226,20200117,4,1,V,
81HT,1925,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,CO,S,US,20260701,20260701,20190530,4,1,V,
81KR,9481,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,FL,7,US,20250918,20250918,20231008,4,1,V,
81NX,2660,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,DE,1,US,20250107,20250107,20070822,4,1,V,
81PV,4433,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,OR,S,US,20230707,20220105,20230411,4,1,V,
81RL,10503,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,7,FL,7,US,20250407,20250407,20250222,4,1,V,
81WF,1772,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2006,4,VA,1,US,20250514,20250514,20060113,4,1,V,
820,3305,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2008,7,VA,1,US,20241016,20241016,20081010,4,1,V,
8207A,9569,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,AR,2,US,20250323,20240928,20231201,4,1,V,
820BK,10866,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,MA,E,US,20251003,20251003,20250814,4,1,V,
820CS,1985,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,,7,FL,7,US,20230202,20200310,20060531,4,1,V,
820FW,3798,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2011,7,MI,C,US,20230909,20161012,20111028,4,1,V,
820LW,1660,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,NY,1,US,20230304,20100629,20051026,4,1,V,
820SR,2463,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,1,NV,4,US,20230610,20210921,20070504,4,1,V,
820TS,4607,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,TN,3,US,20250825,20250825,20180221,4,1,V,
8212D,10717,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2025,7,PA,1,US,20250714,20250714,20250614,4,1,V,
821CV,4374,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2016,7,FL,7,US,20230122,20200317,20160727,4,1,V,
821D,9307,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2023,7,WA,S,US,20230814,20230814,20230628,4,1,V,
821G,1471,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,DE,1,US,20240823,20201005,20050609,4,1,V,
821GT,3932,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2013,1,TX,2,US,20241018,20241018,20151013,4,1,V,
821JK,0466,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2023,7,FL,7,US,20230711,20230711,20230623,4,5,V,
821LL,10570,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,3,NC,1,US,20250516,20250516,20250315,4,1,V,
821MS,4052,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2014,7,CA,4,US,20230811,20190617,20140227,4,1,V,
821P,4723,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2018,7,OK,2,US,20230707,20220129,20181112,4,1,V,
821RT,8865,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2022,3,OR,S,US,20240122,20240122,20221005,4,1,V,
821SR,2614,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,NM,2,US,20230902,20220917,20070720,4,1,V,
821TR,10962,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2025,4,CA,4,US,20251107,20251107,20251001,4,1,V,
821WM,1480,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,7,MO,3,US,20230407,20171226,20050615,4,1,V,
822AC,1362,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2003,3,SC,7,US,20230603,20210806,20031010,4,1,V,
822BL,10249,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,FL,7,US,20241104,20241104,20241009,4,1,V,
822CD,0113,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2001,3,FL,7,US,20230707,20011109,20011102,4,1,V,
822CP,0633,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2013,1,WA,S,US,20230728,20220420,20131025,4,1,V,
822CW,1203,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2015,7,CO,S,US,20230707,20160105,20151211,4,1,V,
822DD,1431,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2016,7,WA,S,US,20230930,20230118,20160901,4,1,V,
822DL,0676,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2025,7,TX,2,US,20260212,20250822,20250731,4,5,V,
822DR,0781,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,NY,1,US,20230707,20190115,20031218,4,1,V,
